experiment,type,distortion,severity,AP,AR
FGSMTraining,overall_mean,all,all,0.4255899513429965,0.46373396692297497
FGSMTraining,distortion_mean,brightness,,0.6271452873607476,0.6632840050377834
FGSMTraining,distortion_mean,contrast,,0.22857954213247972,0.25602959697732997
FGSMTraining,distortion_mean,defocus_blur,,0.35199083951997434,0.3918639798488665
FGSMTraining,distortion_mean,elastic_transform,,0.5351784282841812,0.5753148614609571
FGSMTraining,distortion_mean,fog,,0.39034643792032553,0.43462846347607054
FGSMTraining,distortion_mean,frost,,0.4357399262675926,0.4777392947103275
FGSMTraining,distortion_mean,gaussian_noise,,0.46137592712229586,0.5001385390428211
FGSMTraining,distortion_mean,glass_blur,,0.3782445726109251,0.419471032745592
FGSMTraining,distortion_mean,impulse_noise,,0.4545399799063204,0.493573677581864
FGSMTraining,distortion_mean,jpeg_compression,,0.570426038965275,0.6084288413098237
FGSMTraining,distortion_mean,motion_blur,,0.32626789532525347,0.3658721662468514
FGSMTraining,distortion_mean,pixelate,,0.5614808807781448,0.5987720403022669
FGSMTraining,distortion_mean,shot_noise,,0.4821516583257572,0.5216183879093199
FGSMTraining,distortion_mean,snow,,0.40988303494060885,0.45136649874055407
FGSMTraining,distortion_mean,zoom_blur,,0.12083888601614161,0.14882241813602015
FGSMTraining,severity_mean,,0,0.5565126477829379,0.5947427975440805
FGSMTraining,severity_mean,,1,0.4910889848581487,0.5305583543240975
FGSMTraining,severity_mean,,2,0.42187239427492557,0.4614767002518892
FGSMTraining,severity_mean,,3,0.35190183803042413,0.3896809403862301
FGSMTraining,severity_mean,,4,0.2978457120058833,0.33347712006717045
standard,overall_mean,all,all,0.4801235624082326,0.5180388688187725
standard,distortion_mean,brightness,,0.6631294518258313,0.697367758186398
standard,distortion_mean,contrast,,0.4806470804484178,0.5205006297229219
standard,distortion_mean,defocus_blur,,0.4270363391353353,0.4661681360201511
standard,distortion_mean,elastic_transform,,0.5659109949353152,0.6053841309823678
standard,distortion_mean,fog,,0.5989577272529847,0.6371819899244333
standard,distortion_mean,frost,,0.5029020207226842,0.5439105793450881
standard,distortion_mean,gaussian_noise,,0.44882254510441266,0.4862783375314862
standard,distortion_mean,glass_blur,,0.4211064542810692,0.4601700251889169
standard,distortion_mean,impulse_noise,,0.44822253893470865,0.48602329974811076
standard,distortion_mean,jpeg_compression,,0.5198794900963268,0.5536901763224181
standard,distortion_mean,motion_blur,,0.3955527608240704,0.43697103274559196
standard,distortion_mean,pixelate,,0.5581326808714198,0.5924590680100755
standard,distortion_mean,shot_noise,,0.4738907277684983,0.5112909319899244
standard,distortion_mean,snow,,0.492578318024823,0.531404282115869
standard,distortion_mean,zoom_blur,,0.15681642381789163,0.1946001259445844
standard,severity_mean,,0,0.6075762869531525,0.6433465837531486
standard,severity_mean,,1,0.5465832446905465,0.5838864399664148
standard,severity_mean,,2,0.48278475861802755,0.5218240973971453
standard,severity_mean,,3,0.4111876228244919,0.4502361460957179
standard,severity_mean,,4,0.3439890506519506,0.3825472292191436
